"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-10-01",,,,,"10.0","H,,S","12.0",",,S","6.9",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-10-02",,,,,"8.3","H,,S","11.0",",,S","6.2",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-10-03",,,,,"6.4","H,,S","8.8",",,S","4.7",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-10-04",,,,,"6.5","H,,S","9.0",",,S","4.5",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-10-05",,,,,"4.9","H,,S","6.6",",,S","3.0",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-10-06",,,,,"4.4","H,,S","6.9",",,S","0.4",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-10-07",,,,,"2.7","H,,S","7.3",",,S","-2.0",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-10-08",,,,,"7.6","H,,S","9.1",",,S","5.4",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-10-09",,,,,"7.2","H,,S","8.3",",,S","3.7",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-10-10",,,,,"3.4","H,,S","4.7",",,S","2.3",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-10-11",,,,,"3.1","H,,S","4.5",",,S",,
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-10-12",,,,,"2.7","H,,S","4.8",",,S","0.6",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-10-13",,,,,"0.9","H,,S","3.4",",,S","-0.3",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-10-14",,,,,"0.6","H,,S",,,"-1.6",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-10-15",,,,,"6.4","H,,S","8.4",",,S","2.4",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-10-16",,,,,"5.2","H,,S","7.2",",,S","3.2",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-10-17",,,,,"6.8","H,,S","10.1",",,S","3.4",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-10-18",,,,,"9.6","H,,S","10.7",",,S","8.1",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-10-19",,,,,"10.1","H,,S","12.1",",,S","8.1",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-10-20",,,,,"8.0","H,,S","10.1",",,S","5.6",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-10-21",,,,,"6.6","H,,S","8.3",",,S","5.0",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-10-22",,,,,"4.3","H,,S","6.0",",,S","1.8",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-10-23",,,,,"3.3","H,,S","7.9",",,S","0.5",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-10-24",,,,,"3.2","H,,S","7.6",",,S","-0.5",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-10-25",,,,,"7.2","H,,S","9.7",",,S","3.6",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-10-26",,,,,"7.7","H,,S","9.1",",,S","5.1",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-10-27",,,,,"5.2","H,,S","8.1",",,S","3.0",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-10-28",,,,,"4.5","H,,S","7.1",",,S","2.1",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-10-29",,,,,"2.4","H,,S","6.1",",,S","-0.8",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-10-30",,,,,"2.9","H,,S","5.4",",,S","0.2",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-10-31",,,,,"2.4","H,,S","4.8",",,S","0.5",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-11-01",,,,,"2.8","H,,S","5.3",",,S","1.2",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-11-02",,,,,"1.6","H,,S","5.1",",,S","-1.1",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-11-03",,,,,"1.2","H,,S","4.4",",,S","-0.7",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-11-04",,,,,"3.4","H,,S","5.2",",,S","-0.9",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-11-05",,,,,"3.3","H,,S","4.2",",,S","2.5",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-11-06",,,,,"3.2","H,,S","4.5",",,S","1.0",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-11-07",,,,,"3.3","H,,S","4.8",",,S","1.3",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-11-08",,,,,"5.5","H,,S","7.3",",,S","4.4",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-11-09",,,,,"3.2","H,,S","6.8",",,S","-0.4",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-11-10",,,,,"0.6","H,,S",,,"-2.2",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-11-11",,,,,"2.3","H,,S","3.8",",,S",,
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-11-12",,,,,"3.8","H,,S",,,"2.6",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-11-13",,,,,"4.3","H,,S","6.6",",,S","3.0",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-11-14",,,,,"6.1","H,,S","7.1",",,S","3.7",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-11-15",,,,,"5.2","H,,S","6.5",",,S","3.7",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-11-16",,,,,"4.3","H,,S","5.6",",,S","2.7",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-11-17",,,,,"5.2","H,,S","6.1",",,S","4.0",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-11-18",,,,,"4.7","H,,S","6.4",",,S","0.7",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-11-19",,,,,"0.6","H,,S",,,"-2.0",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-11-20",,,,,"4.5","H,,S","8.7",",,S","1.3",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-11-21",,,,,"6.0","H,,S","9.0",",,S","1.7",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-11-22",,,,,"2.6","H,,S","4.8",",,S","-0.6",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-11-23",,,,,"-1.1","H,,S","1.6",",,S","-4.7",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-11-24",,,,,"0.5","H,,S","3.1",",,S","-3.7",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-11-25",,,,,"4.9","H,,S","6.1",",,S","3.3",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-11-26",,,,,"5.2","H,,S","5.7",",,S","4.3",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-11-27",,,,,"4.6","H,,S","6.4",",,S","1.5",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-11-28",,,,,"2.1","H,,S","3.0",",,S","1.4",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-11-29",,,,,"2.6","H,,S","4.6",",,S",,
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-11-30",,,,,"0.7","H,,S","3.0",",,S","-1.1",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-12-01",,,,,"-1.7","H,,S","0.1",",,S","-4.5",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-12-02",,,,,"-3.9","H,,S","-1.7",",,S","-5.5",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-12-03",,,,,"-1.7","H,,S","0.1",",,S","-4.8",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-12-04",,,,,"0.9","H,,S","2.2",",,S","-0.9",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-12-05",,,,,"0.1","H,,S","1.4",",,S","-1.0",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-12-06",,,,,"0.4","H,,S","1.6",",,S","-0.5",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-12-07",,,,,"1.9","H,,S","3.2",",,S","-0.8",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-12-08",,,,,"-1.9","H,,S","0.9",",,S","-4.2",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-12-09",,,,,"-1.4","H,,S","1.0",",,S","-3.5",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-12-10",,,,,"-1.1","H,,S","1.6",",,S","-3.7",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-12-11",,,,,"0.7","H,,S","2.0",",,S","-1.2",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-12-12",,,,,"-2.6","H,,S","2.2",",,S","-6.8",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-12-13",,,,,"5.5","H,,S","8.1",",,S","2.5",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-12-14",,,,,"1.9","H,,S","4.3",",,S","0.1",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-12-15",,,,,"1.8","H,,S","3.8",",,S","-0.4",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-12-16",,,,,"1.5","H,,S","3.2",",,S","-0.4",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-12-17",,,,,"1.5","H,,S","2.8",",,S","-0.1",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-12-18",,,,,"0.4","H,,S","2.0",",,S","-0.5",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-12-19",,,,,"-0.8","H,,S","1.5",",,S","-3.3",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-12-20",,,,,"-0.2","H,,S","4.0",",,S","-2.8",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-12-21",,,,,"-3.8","H,,S","-0.7",",,S","-5.5",",I,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-12-25",,,,,"-0.7","H,,S",,,"-1.5",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-12-26",,,,,"0.8","H,,S","3.5",",,S","-2.9",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-12-27",,,,,"0.5","H,,S","5.4",",,S","-5.6",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-12-28",,,,,"-2.2","H,,S","1.1",",,S","-5.2",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-12-29",,,,,"-0.9","H,,S",,,"-4.5",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-12-30",,,,,"-0.2","H,,S",,,"-3.6",",,S"
"ICM00004130","REYKJAVIK, IC","64.133","-21.9","53.0","2023-12-31","1.0",",,S","1.0",",,S",,,,,,
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-10-01",,,,,"10.4","H,,S","12.1",",,S",,
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-10-02",,,,,"8.3","H,,S",,,,
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-10-03",,,,,"6.6","H,,S",,,,
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-10-04",,,,,"6.7","H,,S",,,"4.5",",,S"
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-10-05",,,,,"5.3","H,,S","8.2",",,S","3.1",",,S"
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-10-06",,,,,"4.7","H,,S",,,,
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-10-07",,,,,"3.1","H,,S",,,,
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-10-08",,,,,"8.2","H,,S",,,"5.1",",,S"
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-10-09",,,,,"7.8","H,,S",,,,
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-10-10",,,,,"3.8","H,,S","6.6",",,S","2.3",",,S"
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-10-11",,,,,"3.3","H,,S",,,,
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-10-12",,,,,"3.1","H,,S",,,"0.5",",,S"
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-10-13",,,,,"1.4","H,,S","4.2",",,S","-0.1",",,S"
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-10-14",,,,,"1.2","H,,S",,,"-1.6",",,S"
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-10-15",,,,,"6.9","H,,S",,,"2.3",",,S"
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-10-16",,,,,"5.7","H,,S",,,,
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-10-17",,,,,"7.4","H,,S",,,"2.8",",,S"
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-10-18",,,,,"10.0","H,,S",,,,
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-10-19",,,,,"10.6","H,,S",,,"7.8",",,S"
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-10-20",,,,,"8.4","H,,S",,,,
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-10-21",,,,,"7.0","H,,S",,,"5.0",",,S"
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-10-22",,,,,"4.5","H,,S","6.8",",,S",,
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-10-23",,,,,"3.4","H,,S",,,,
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-10-24",,,,,"3.6","H,,S",,,"-0.1",",,S"
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-10-25",,,,,"7.4","H,,S",,,"3.4",",,S"
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-10-26",,,,,"7.7","H,,S",,,,
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-10-27",,,,,"5.3","H,,S",,,,
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-10-28",,,,,"4.8","H,,S",,,,
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-10-29",,,,,"2.4","H,,S",,,,
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-10-30",,,,,"3.3","H,,S",,,"1.0",",,S"
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-10-31",,,,,"2.8","H,,S",,,"0.4",",,S"
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-11-01",,,,,"3.2","H,,S",,,,
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-11-02",,,,,"1.1","H,,S",,,,
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-11-03",,,,,"1.0","H,,S","5.0",",,S","-1.0",",,S"
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-11-04",,,,,"3.3","H,,S","5.4",",,S","-0.4",",,S"
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-11-05",,,,,"3.7","H,,S",,,"2.5",",,S"
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-11-06",,,,,"3.4","H,,S",,,,
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-11-07",,,,,"3.7","H,,S",,,"1.0",",,S"
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-11-08",,,,,"6.0","H,,S",,,"2.8",",,S"
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-11-09",,,,,"2.7","H,,S","6.2",",,S",,
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-11-10",,,,,"0.9","H,,S","3.0",",,S",,
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-11-11",,,,,"2.7","H,,S",,,"1.3",",,S"
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-11-12",,,,,"4.2","H,,S",,,,
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-11-13",,,,,"4.8","H,,S",,,"2.8",",,S"
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-11-14",,,,,"6.6","H,,S",,,"4.6",",,S"
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-11-15",,,,,"5.4","H,,S",,,"3.6",",,S"
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-11-16",,,,,"4.6","H,,S","6.6",",,S","2.6",",,S"
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-11-17",,,,,"5.6","H,,S",,,"4.0",",,S"
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-11-18",,,,,"5.0","H,,S",,,,
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-11-19",,,,,"0.4","H,,S","4.0",",,S",,
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-11-20",,,,,"5.1","H,,S",,,,
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-11-21",,,,,"6.4","H,,S","9.0",",,S","1.7",",,S"
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-11-22",,,,,"3.2","H,,S","5.1",",,S",,
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-11-23",,,,,"-0.6","H,,S",,,"-4.2",",,S"
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-11-24",,,,,"1.1","H,,S",,,"-4.2",",,S"
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-11-25",,,,,"5.4","H,,S",,,"2.0",",,S"
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-11-26",,,,,"5.7","H,,S",,,"4.3",",,S"
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-11-27",,,,,"5.1","H,,S",,,,
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-11-28",,,,,"2.1","H,,S",,,,
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-11-29",,,,,"2.6","H,,S",,,"0.8",",,S"
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-11-30",,,,,"0.9","H,,S","3.6",",,S",,
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-12-01",,,,,"-1.4","H,,S",,,,
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-12-02",,,,,"-3.9","H,,S","-1.5",",,S",,
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-12-03",,,,,"-1.4","H,,S",,,"-5.6",",,S"
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-12-04",,,,,"1.4","H,,S",,,,
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-12-05",,,,,"0.6","H,,S","2.6",",,S","-1.0",",,S"
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-12-06",,,,,"0.9","H,,S",,,"-0.9",",,S"
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-12-07",,,,,"2.2","H,,S",,,,
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-12-08",,,,,"-1.7","H,,S","1.6",",,S",,
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-12-09",,,,,"-2.2","H,,S","1.4",",,S",,
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-12-10",,,,,"-1.4","H,,S",,,,
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-12-11",,,,,"0.8","H,,S",,,,
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-12-12",,,,,"-2.3","H,,S",,,"-7.2",",,S"
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-12-13",,,,,"5.9","H,,S",,,"-0.3",",,S"
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-12-14",,,,,"2.5","H,,S",,,"-0.4",",,S"
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-12-15",,,,,"2.6","H,,S","4.5",",,S",,
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-12-16",,,,,"2.0","H,,S","3.2",",,S","0.0",",,S"
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-12-17",,,,,"1.8","H,,S","3.3",",,S","0.0",",,S"
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-12-18",,,,,"0.9","H,,S",,,"-0.7",",,S"
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-12-19",,,,,"-0.3","H,,S",,,"-3.1",",,S"
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-12-20",,,,,"0.3","H,,S",,,"-3.4",",,S"
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-12-21",,,,,"-3.3","H,,S","0.2",",,S",,
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-12-22",,,"30.0",",,S",,,,,,
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-12-23",,,"30.0",",,S",,,,,,
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-12-25",,,,,"-0.8","H,,S",,,,
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-12-26",,,,,"0.6","H,,S",,,,
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-12-27",,,,,"0.7","H,,S",,,,
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-12-28",,,,,"-2.5","H,,S",,,,
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-12-29",,,"20.0",",,S","-1.1","H,,S",,,,
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-12-30",,,"41.0",",,S","-0.6","H,,S",,,"-4.7",",,S"
"IC000004030","REYKJAVIK, IC","64.1269","-21.9025","52.0","2023-12-31","1.0",",,S",,,,,,,,
